GID ZTRUE LOGMASS LOGMASS_ERR g_obs r_obs i_obs z_obs g_abs r_abs i_abs z_abs
030005 0.4195 11.2700 0.0185 21.549 20.485 19.906 19.532 -20.258 -21.322 -21.901 -22.275
050004 0.4453 9.1990 0.2065 23.027 22.733 22.432 22.276 -18.934 -19.228 -19.529 -19.685
170457 0.3555 10.8450 0.0600 22.124 20.819 20.326 20.013 -19.260 -20.565 -21.058 -21.371
380087 0.1468 8.6160 0.8440 20.232 20.208 20.013 19.892 -18.983 -19.007 -19.202 -19.323
390629 0.4099 11.0630 0.1500 21.381 20.278 19.811 19.590 -20.366 -21.469 -21.936 -22.157
050005 0.5279 9.6330 0.3455 22.538 22.450 21.980 22.052 -19.865 -19.953 -20.423 -20.351
170465 0.1838 10.8250 0.2430 18.890 18.387 18.094 17.904 -20.862 -21.365 -21.658 -21.848
350583 0.3578 10.8600 0.1120 21.326 20.364 19.953 19.729 -20.074 -21.036 -21.447 -21.671
360285 0.5271 9.2480 0.2825 23.285 22.728 22.669 22.414 -19.114 -19.671 -19.730 -19.985
390124 0.4555 9.3050 0.3455 23.686 22.571 22.632 22.521 -18.333 -19.448 -19.387 -19.498
030007 0.2594 10.0300 0.2790 21.130 20.701 20.423 20.249 -19.463 -19.892 -20.170 -20.344
060238 0.3233 11.4660 0.0365 20.271 19.219 18.685 18.354 -20.872 -21.924 -22.458 -22.789
150604 0.4922 11.2980 0.0590 21.487 20.469 19.968 19.543 -20.733 -21.751 -22.252 -22.677
330016 0.3295 9.2730 0.4745 22.005 21.784 21.902 21.619 -19.186 -19.407 -19.289 -19.572
370332 0.5122 11.1720 0.0495 21.174 20.438 19.943 19.607 -21.150 -21.886 -22.381 -22.717
380092 0.5130 10.7640 0.1390 22.309 21.335 20.991 20.617 -20.019 -20.993 -21.337 -21.711
390640 0.2482 9.1470 0.4480 22.723 22.182 22.188 21.680 -17.761 -18.302 -18.296 -18.804
520171 0.3961 10.4980 0.2600 21.729 20.768 20.388 20.128 -19.930 -20.891 -21.271 -21.531
150607 0.4306 10.3280 0.3565 20.860 20.431 20.090 19.985 -21.014 -21.443 -21.784 -21.889
480315 0.3158 11.2340 0.0695 19.855 19.053 18.659 18.414 -21.229 -22.031 -22.425 -22.670
500001 0.2146 11.0780 0.0525 18.914 18.124 17.653 17.546 -21.214 -22.004 -22.475 -22.582
060249 0.3290 10.9740 0.0850 21.159 20.213 19.748 19.409 -20.028 -20.974 -21.439 -21.778
140107 0.4349 10.5480 0.2995 20.262 19.795 19.505 19.305 -21.638 -22.105 -22.395 -22.595
150132 0.2670 9.5800 0.2950 22.580 21.826 21.678 21.400 -18.085 -18.839 -18.987 -19.265
170520 0.4484 11.3740 0.0680 21.693 20.278 19.680 19.293 -20.285 -21.700 -22.298 -22.685
330023 0.1816 10.6230 0.1275 20.116 19.410 18.993 18.789 -19.607 -20.313 -20.730 -20.934
370335 0.3887 11.5740 0.1225 20.145 19.165 18.702 18.349 -21.466 -22.446 -22.909 -23.262
440229 0.4385 10.9570 0.1190 21.944 20.892 20.377 20.062 -19.977 -21.029 -21.544 -21.859
480316 0.5390 11.2280 0.0470 22.675 21.393 20.633 20.232 -19.782 -21.064 -21.824 -22.225
070955 0.3491 9.5130 0.2715 21.840 21.122 21.433 21.009 -19.497 -20.215 -19.904 -20.328
140112 0.3383 10.9640 0.2220 20.215 19.417 19.089 18.903 -21.043 -21.841 -22.169 -22.355
150141 0.4856 9.7750 0.4950 21.383 21.391 21.236 21.034 -20.802 -20.794 -20.949 -21.151
550154 0.2119 10.5820 0.0815 20.458 19.712 19.351 19.114 -19.639 -20.385 -20.746 -20.983
480863 0.3980 11.1710 0.2415 20.753 19.816 19.299 19.104 -20.919 -21.856 -22.373 -22.568
500328 0.4550 11.0880 0.0655 22.187 20.886 20.268 19.993 -19.829 -21.130 -21.748 -22.023
050017 0.3530 11.1680 0.0710 19.813 18.974 18.680 18.359 -21.553 -22.392 -22.686 -23.007
190142 0.4372 11.1780 0.0460 21.602 20.667 20.073 19.702 -20.311 -21.246 -21.840 -22.211
550176 0.2200 11.0150 0.1300 19.282 18.544 18.150 17.996 -20.906 -21.644 -22.038 -22.192
150170 0.5805 11.2890 0.0295 22.759 21.539 20.787 20.348 -19.893 -21.113 -21.865 -22.304
360346 0.3614 10.7660 0.3210 21.647 20.422 20.050 19.949 -19.778 -21.003 -21.375 -21.476
420159 0.1823 11.3380 0.0810 18.314 17.562 17.150 16.922 -21.418 -22.170 -22.582 -22.810
