# CID HOST_LOGMASS HOST_LOGMASS_ERR
PSc360346 10.7660 0.3210
PSc420159 11.3380 0.0810
PSc530258 9.8020 0.1255
PSc070986 9.1410 0.2845
PSc150181 9.3840 0.2790
PSc160183 11.6820 0.1030
PSc500009 11.5890 0.0225
PSc580005 10.7120 0.0115
PSc000077 10.7960 0.2925
PSc110422 10.8040 0.0935
PSc140124 10.0400 0.5275
PSc150185 9.4130 0.1575
PSc370344 -99.0000 0.0000
PSc540110 11.3160 0.1010
PSc030066 9.1340 0.1570
PSc130490 12.0830 0.4725
PSc150186 10.2010 0.2205
PSc150652 10.4930 0.4915
PSc160197 10.1580 0.0870
PSc170558 9.7970 0.2295
PSc310205 10.9820 0.0105
PSc350630 11.1490 0.0525
PSc380138 11.2010 0.2860
PSc390185 10.1650 0.1005
PSc420171 10.2900 0.4695
PSc540112 11.6220 0.0650
PSc580009 10.7900 0.0820
PSc000080 9.6350 0.1110
PSc030068 11.4570 0.1025
PSc071007 11.0440 0.3115
PSc110426 11.0170 0.4090
PSc150195 11.1360 0.0535
PSc310210 12.0190 0.4445
PSc340347 10.0800 0.0820
PSc380145 10.6090 0.1450
PSc480360 11.4240 0.0340
PSc500016 11.0970 0.0515
PSc540116 -99.0000 0.0000
PSc580010 11.3450 0.1580
PSc590038 11.2800 0.0820
PSc150196 10.7710 0.2105
PSc160200 10.8670 0.1495
PSc330049 9.1290 58.0180
PSc350637 10.4020 0.2360
PSc380147 11.1540 0.4290
PSc450238 10.1020 0.2565
PSc500018 10.7530 0.2495
PSc540118 10.5970 0.2675
PSc010074 10.5170 0.4165
PSc310219 9.7410 0.5325
PSc390229 9.5040 0.1735
PSc470232 9.7370 0.1780
PSc540119 8.9870 0.2785
PSc550197 11.4130 0.0050
PSc060321 11.2880 0.0705
PSc110429 10.0580 0.2065
PSc160206 10.6990 0.2215
PSc190209 11.7050 0.2335
PSc310220 11.0110 0.0215
PSc330051 8.9600 0.4380
PSc420197 10.3180 0.2620
PSc470233 11.3880 0.0175
PSc480371 10.6690 0.4430
PSc500020 11.5640 0.1545
PSc500369 10.0870 0.5395
PSc550200 11.0240 0.0975
PSc090037 10.1090 0.0395
PSc140152 9.6940 0.5095
PSc330052 10.0610 0.1725
PSc390236 11.2760 0.1015
PSc420206 11.2690 0.1430
PSc110431 11.4760 0.0505
PSc150210 11.0610 0.1085
PSc150682 11.1750 0.4695
PSc190215 10.8730 0.0080
PSc310226 11.3880 0.0085
PSc370374 9.9370 0.1040
PSc500389 11.6870 0.0925
PSc550211 11.0460 0.0050
PSc050078 11.1540 0.0720
PSc120635 11.7000 0.1155
PSc150212 11.5600 0.1320
PSc310238 9.9060 0.1565
PSc370376 11.3420 0.0460
PSc390259 8.7930 0.6675
PSc500394 11.3130 0.1470
PSc520232 9.6140 0.2565
PSc540132 11.2100 0.1100
PSc120637 11.0610 0.0265
PSc150217 11.6760 0.1270
PSc310240 9.6090 0.2075
PSc330060 10.0870 0.1100
PSc350047 10.4910 0.1235
PSc440285 10.6340 0.0625
PSc450256 10.9130 0.0225
PSc500396 10.3960 0.5495
PSc530302 10.2090 0.3650
PSc540134 11.5920 0.0740
PSc590062 10.2480 0.4350
PSc071113 11.3120 0.2810
PSc130538 11.0700 0.4185
PSc140164 10.0280 0.2515
PSc330061 10.4730 0.1420
PSc350049 10.9750 0.4910
PSc350699 11.4680 0.0495
PSc420246 9.9320 0.4830
PSc500025 11.3090 0.0235
PSc530303 10.4160 0.0500
PSc540138 10.9800 0.3175
PSc000095 11.0100 0.0065
PSc160223 11.1940 0.3550
PSc350050 10.5040 0.1815
PSc350714 11.2610 0.2495
PSc550223 11.3460 0.0680
PSc150221 11.1880 0.2235
PSc160225 9.7820 0.3150
PSc310271 9.6880 0.3120
PSc370394 10.2910 57.8735
PSc440296 10.6550 0.0190
PSc520252 9.9960 0.5630
PSc530306 10.1050 0.2045
PSc540142 10.1020 0.1430
PSc550225 -99.0000 0.0000
PSc580024 9.9720 0.8625
PSc110464 11.4840 0.1755
PSc190228 10.2780 0.3450
PSc370395 10.4040 0.4240
PSc390283 9.2990 0.2370
PSc420258 11.4630 0.0130
PSc540147 10.2080 0.3520
PSc550226 11.0210 0.0120
PSc150709 9.7560 0.5575
PSc350073 11.4540 0.0705
PSc360414 9.1750 0.1890
PSc380177 10.1320 0.0940
PSc420259 10.8160 0.0410
PSc450274 10.5800 0.2005
PSc500032 11.3500 55.5285
PSc530001 9.9310 0.1880
PSc030216 10.7990 0.0940
PSc150226 9.8840 0.3200
PSc300007 10.7860 0.1380
PSc310308 11.3580 0.2540
PSc480409 10.6450 0.1070
PSc500035 11.7400 0.0370
PSc580037 10.9600 0.0040
PSc140177 11.4430 0.0100
PSc150234 10.7890 0.2780
PSc190234 10.5610 0.2400
PSc540156 11.0150 0.0660
PSc030232 11.6120 0.0215
PSc050172 10.3160 0.1925
PSc071245 11.5700 0.2195
PSc110478 9.4680 0.2270
PSc190237 10.8780 0.0820
PSc360440 11.1710 0.2005
PSc480025 10.3720 0.1020
PSc540157 11.1140 0.2820
PSc030245 10.4500 0.4505
PSc140181 10.3590 0.0625
PSc190241 10.0410 0.2635
PSc350080 11.2290 0.1220
PSc350746 -99.0000 0.0000
PSc500038 10.4040 0.0605
PSc540163 10.3590 0.3260
PSc580045 9.4850 0.3185
PSc010167 10.3750 0.2785
PSc061139 11.1300 0.0135
PSc090097 11.7130 0.0180
PSc500039 9.2100 0.3905
PSc500457 11.8270 0.0735
PSc080012 10.9610 0.2910
PSc160262 10.6120 0.2320
PSc310332 10.9580 0.1960
PSc350083 9.7550 0.2360
PSc500043 10.8600 0.2030
PSc540172 9.7240 0.5035
PSc000150 10.7800 0.0945
PSc010178 9.5890 0.3345
PSc030263 10.1160 0.3105
PSc080015 10.1140 0.1615
PSc090107 11.6880 0.0310
PSc151005 10.0630 0.1285
PSc330083 8.7800 1.0115
PSc350091 11.5580 0.0795
PSc350771 11.4300 0.1150
PSc360465 10.8860 0.1290
PSc370428 10.1240 0.1135
PSc480925 9.2830 0.3655
PSc560033 9.6680 0.2245
PSc151033 11.4970 0.1450
PSc540181 10.3740 0.3450
PSc000156 10.8130 0.2190
PSc080023 10.9970 0.0780
PSc110536 10.5770 0.2165
PSc130650 9.6410 0.1575
PSc151034 11.6400 57.5330
PSc330089 9.6510 0.2135
PSc370435 11.3130 0.3095
PSc450311 10.2510 0.1945
PSc480930 10.0660 0.2065
PSc500048 10.7120 0.0125
PSc530031 11.6710 0.0410
PSc061191 10.0360 0.1275
PSc080028 11.8800 0.0030
PSc130651 10.5180 0.5965
PSc190260 10.8330 0.0465
PSc350111 9.8510 0.3095
PSc450312 10.7260 0.0620
PSc500049 11.5390 0.0530
PSc530032 11.8280 0.8050
PSc560054 10.8400 0.1775
PSc061192 10.5800 0.1800
PSc110542 10.5950 0.3615
PSc180119 -99.0000 0.0000
PSc360493 10.0320 0.3440
PSc480943 10.6070 0.4950
PSc500484 10.2160 0.0615
PSc590132 11.5300 0.1175
PSc010191 11.5170 0.2220
PSc090128 11.3990 0.2260
PSc180127 10.8980 0.0170
PSc330101 10.5710 0.1740
PSc350131 10.1160 0.1190
PSc450335 10.8580 0.1600
PSc480042 9.5490 0.4665
PSc480945 11.3200 0.0585
PSc050209 9.9770 0.1930
PSc080048 11.4710 0.0595
PSc100083 10.9900 0.0090
PSc110567 11.4030 0.0210
PSc190267 10.9220 0.1900
PSc500065 10.0160 0.2820
PSc580104 11.5430 0.0160
PSc061197 11.1270 0.1935
PSc090130 9.9490 0.1025
PSc100090 9.9780 0.0980
PSc130684 11.1720 0.0995
PSc151069 11.2380 0.0200
PSc160285 10.1810 0.2665
PSc190268 11.4750 0.0855
PSc440398 10.4940 0.1405
PSc500067 9.4770 0.1905
PSc560075 11.0550 0.1245
PSc010196 11.1920 0.1555
PSc090147 10.4490 0.0715
PSc110647 9.9890 0.1415
PSc140210 10.6340 0.0900
PSc180135 10.7000 0.3205
PSc190269 9.9990 0.3400
PSc480058 9.7500 0.1400
PSc100101 11.5780 0.2400
PSc120700 11.5710 0.0525
PSc180157 10.6860 0.2775
PSc350869 9.0470 0.4490
PSc370473 10.1900 0.1525
PSc400042 11.2590 0.0440
PSc450344 10.1710 0.1340
PSc480059 -99.0000 0.0000
PSc000186 11.4740 0.1660
PSc010203 10.3840 0.0090
PSc050251 11.4010 0.1125
PSc100102 11.7430 0.0545
PSc110710 10.8880 0.4710
PSc140214 11.1040 0.1375
PSc150273 11.3680 0.0465
PSc180166 10.8800 0.0915
PSc300089 10.9220 0.0945
PSc480464 10.9170 0.1190
PSc530052 10.6610 0.2140
